Paper File,Paper Availability,Availability of Code and Software,Availability of Datasets,Computer Requirements,GPU Requirements,Documentation Quality,Ease of Setup,Reproducibility of Results,Overall Rating
logan2024megammap.pdf,Score: 1 | Notes: PDF was successfully downloaded.,"Score: 2 | Notes: Found potential repository URL(s): https://github.com/pnorbert/adiosvm, https://github.com/grc-iit/mega",Score: 1 | Notes: Found keyword: dataset,Score: 0 | Notes: ,Score: 0 | Notes: ,Score: 0 | Notes: ,Score: 0 | Notes: ,Score: 0 | Notes: ,Score: N/A | Notes: Manual review required
Responsibility_in_Context_On_Applicability_of_Slicing_in_Semantic_Regression_Analysis_1.pdf,Score: 1 | Notes: PDF was successfully downloaded.,Score: 1 | Notes: Found keyword: github.com,Score: 1 | Notes: Found keyword: dataset,Score: 0 | Notes: ,Score: 0 | Notes: ,Score: 0 | Notes: ,Score: 0 | Notes: ,Score: 0 | Notes: ,Score: N/A | Notes: Manual review required
paper_4.pdf,Score: 1 | Notes: PDF was successfully downloaded.,Score: 1 | Notes: Found keyword: source code,Score: 1 | Notes: Found keyword: dataset,Score: 0 | Notes: ,Score: 0 | Notes: ,Score: 0 | Notes: ,Score: 0 | Notes: ,Score: 0 | Notes: ,Score: N/A | Notes: Manual review required
shen-sc24-llamp.pdf,Score: 1 | Notes: PDF was successfully downloaded.,Score: 1 | Notes: Found keyword: source code,Score: 0 | Notes: ,Score: 0 | Notes: ,Score: 0 | Notes: ,Score: 0 | Notes: ,Score: 0 | Notes: ,Score: 0 | Notes: ,Score: N/A | Notes: Manual review required
MorphQ__Metamorphic_Testing_of_the_Qiskit_Quantum_Computing_Platform.pdf,Score: 1 | Notes: PDF was successfully downloaded.,Score: 2 | Notes: Found potential repository URL(s): https://github.com/Qiskit/qiskit,Score: 2 | Notes: Found potential dataset URL(s): https://figshare.com/s/dd0d4af20fd6e06148a3,Score: 1 | Notes: Found keyword: OS. Manual check needed for clarity and reasonableness.,Score: 1 | Notes: Found keyword: GPU. Manual check needed for specific requirements.,Score: 0 | Notes: Requires analysis of associated code repository documentation.,Score: 0 | Notes: Requires attempting to set up and run the code.,Score: 0 | Notes: Requires attempting to reproduce results and checking for badges/claims.,Score: N/A | Notes: Manual review required
SC24-SPARC-RPA.pdf,Score: 1 | Notes: PDF was successfully downloaded.,Score: 2 | Notes: Found potential repository URL(s): https://github.com/SPARC-RPA-SC/SPARC-,Score: 1 | Notes: Found keyword: zenodo,Score: 0 | Notes: ,Score: 0 | Notes: ,Score: 0 | Notes: ,Score: 0 | Notes: ,Score: 0 | Notes: ,Score: N/A | Notes: Manual review required
Reachable_Coverage_Estimating_Saturation_in_Fuzzing.pdf,Score: 1 | Notes: PDF was successfully downloaded.,"Score: 2 | Notes: Found potential repository URL(s): https://github.com/ossf/fuzz-introspector, https://github.com/google/AFL",Score: 1 | Notes: Found keyword: zenodo,Score: 0 | Notes: ,Score: 0 | Notes: ,Score: 0 | Notes: ,Score: 0 | Notes: ,Score: 0 | Notes: ,Score: N/A | Notes: Manual review required
paper_12.pdf,Score: 1 | Notes: PDF was successfully downloaded.,Score: 1 | Notes: Found keyword: bitbucket.org,Score: 0 | Notes: ,Score: 0 | Notes: ,Score: 0 | Notes: ,Score: 0 | Notes: ,Score: 0 | Notes: ,Score: 0 | Notes: ,Score: N/A | Notes: Manual review required
sc24_lorastencil.pdf,Score: 1 | Notes: PDF was successfully downloaded.,Score: 2 | Notes: Found potential repository URL(s): https://github.com/HPHEX/LoRAStencil.,Score: 1 | Notes: Found keyword: data set,Score: 0 | Notes: ,Score: 0 | Notes: ,Score: 0 | Notes: ,Score: 0 | Notes: ,Score: 0 | Notes: ,Score: N/A | Notes: Manual review required
Learning_Deep_Semantics_for_Test_Completion_1.pdf,Score: 1 | Notes: PDF was successfully downloaded.,"Score: 2 | Notes: Found potential repository URL(s): https://github.com/EngineeringSoftware/teco., https://github.com/javaparser/javaparser.",Score: 1 | Notes: Found keyword: dataset,Score: 0 | Notes: ,Score: 0 | Notes: ,Score: 0 | Notes: ,Score: 0 | Notes: ,Score: 0 | Notes: ,Score: N/A | Notes: Manual review required
Retrieval_Based_Prompt_Selection_for_Code_Related_Few_Shot_Learning.pdf,Score: 1 | Notes: PDF was successfully downloaded.,"Score: 2 | Notes: Found potential repository URL(s): https://github.com/RaRe-Technologies/gensim, https://github.com/prompt-learning/cedar",Score: 1 | Notes: Found keyword: dataset,Score: 0 | Notes: ,Score: 0 | Notes: ,Score: 0 | Notes: ,Score: 0 | Notes: ,Score: 0 | Notes: ,Score: N/A | Notes: Manual review required
paper_7.pdf,Score: 1 | Notes: PDF was successfully downloaded.,"Score: 2 | Notes: Found potential repository URL(s): https://github.com/fmperf-project/fmperf., https://github.com/IBM/LLM-performance-prediction.",Score: 1 | Notes: Found keyword: dataset,Score: 0 | Notes: ,Score: 0 | Notes: ,Score: 0 | Notes: ,Score: 0 | Notes: ,Score: 0 | Notes: ,Score: N/A | Notes: Manual review required
Incident_aware_Duplicate_Ticket_Aggregation_for_Cloud_Systems.pdf,Score: 1 | Notes: PDF was successfully downloaded.,Score: 1 | Notes: Found keyword: github.com,Score: 1 | Notes: Found keyword: dataset,Score: 0 | Notes: ,Score: 0 | Notes: ,Score: 0 | Notes: ,Score: 0 | Notes: ,Score: 0 | Notes: ,Score: N/A | Notes: Manual review required
Explaining_Software_Bugs_Leveraging_Code_Structures_in_Neural_Machine_Translation_2.pdf,Score: 1 | Notes: PDF was successfully downloaded.,"Score: 2 | Notes: Found potential repository URL(s): https://github.com/scilab/scilab, https://github.com/scilab/scilab",Score: 0 | Notes: ,Score: 0 | Notes: ,Score: 0 | Notes: ,Score: 0 | Notes: ,Score: 0 | Notes: ,Score: 0 | Notes: ,Score: N/A | Notes: Manual review required
P_Y_E_VOLVE___Automating_Frequent_Code_Changes_in_Python_ML_Systems.pdf,Score: 1 | Notes: PDF was successfully downloaded.,Score: 2 | Notes: Found potential repository URL(s): https://github.com/google/pytype,Score: 1 | Notes: Found keyword: dataset,Score: 0 | Notes: ,Score: 0 | Notes: ,Score: 0 | Notes: ,Score: 0 | Notes: ,Score: 0 | Notes: ,Score: N/A | Notes: Manual review required
paper_3.pdf,Score: 1 | Notes: PDF was successfully downloaded.,"Score: 2 | Notes: Found potential repository URL(s): https://github.com/kamping-site/kamping, https://github.com/rabauke/mpl",Score: 1 | Notes: Found keyword: data set,Score: 0 | Notes: ,Score: 0 | Notes: ,Score: 0 | Notes: ,Score: 0 | Notes: ,Score: 0 | Notes: ,Score: N/A | Notes: Manual review required
Automated_Repair_of_Programs_from_Large_Language_Models.pdf,Score: 1 | Notes: PDF was successfully downloaded.,Score: 1 | Notes: Found keyword: github.com,Score: 1 | Notes: Found keyword: dataset,Score: 0 | Notes: ,Score: 0 | Notes: ,Score: 0 | Notes: ,Score: 0 | Notes: ,Score: 0 | Notes: ,Score: N/A | Notes: Manual review required
SC24__MCBound_Framework.pdf,Score: 1 | Notes: PDF was successfully downloaded.,Score: 1 | Notes: Found keyword: repository,Score: 1 | Notes: Found keyword: dataset,Score: 0 | Notes: ,Score: 0 | Notes: ,Score: 0 | Notes: ,Score: 0 | Notes: ,Score: 0 | Notes: ,Score: N/A | Notes: Manual review required
Revisiting_Neuron_Coverage_for_DNN_Testing__A_Layer_Wise_and_Distribution_Aware_Criterion.pdf,Score: 1 | Notes: PDF was successfully downloaded.,"Score: 2 | Notes: Found potential repository URL(s): https://github.com/Yuanyuan-Yuan/NeuraL-Coverage, https://github.com/Yuanyuan-Yuan/NeuraL-Coverage.",Score: 1 | Notes: Found keyword: dataset,Score: 0 | Notes: ,Score: 0 | Notes: ,Score: 0 | Notes: ,Score: 0 | Notes: ,Score: 0 | Notes: ,Score: N/A | Notes: Manual review required
2024SC-M3XU.pdf,Score: 1 | Notes: PDF was successfully downloaded.,Score: 2 | Notes: Found potential repository URL(s): https://github.com/NVIDIA/cutlass,Score: 0 | Notes: ,Score: 0 | Notes: ,Score: 0 | Notes: ,Score: 0 | Notes: ,Score: 0 | Notes: ,Score: 0 | Notes: ,Score: N/A | Notes: Manual review required
_Partial__Program_Dependence_Learning.pdf,Score: 1 | Notes: PDF was successfully downloaded.,Score: 2 | Notes: Found potential repository URL(s): https://github.com/deeppda-icse23/DeepPDA,Score: 1 | Notes: Found keyword: dataset,Score: 0 | Notes: ,Score: 0 | Notes: ,Score: 0 | Notes: ,Score: 0 | Notes: ,Score: 0 | Notes: ,Score: N/A | Notes: Manual review required
Hatanpaeae_GB24_MProtDPO-AuroraDev.pdf,Score: 1 | Notes: PDF was successfully downloaded.,Score: 2 | Notes: Found potential repository URL(s): https://github.com/argonne-lcf/Megatron-DeepSpeed,Score: 0 | Notes: ,Score: 0 | Notes: ,Score: 0 | Notes: ,Score: 0 | Notes: ,Score: 0 | Notes: ,Score: 0 | Notes: ,Score: N/A | Notes: Manual review required
paper_1.pdf,Score: 1 | Notes: PDF was successfully downloaded.,"Score: 2 | Notes: Found potential repository URL(s): https://github.com/kamping-site/kamping, https://github.com/rabauke/mpl",Score: 1 | Notes: Found keyword: data set,Score: 0 | Notes: ,Score: 0 | Notes: ,Score: 0 | Notes: ,Score: 0 | Notes: ,Score: 0 | Notes: ,Score: N/A | Notes: Manual review required
paper_5.pdf,Score: 1 | Notes: PDF was successfully downloaded.,"Score: 2 | Notes: Found potential repository URL(s): https://github.com/PerfVec/PerfVec., https://github.com/features/copilot",Score: 1 | Notes: Found keyword: dataset,Score: 0 | Notes: ,Score: 0 | Notes: ,Score: 0 | Notes: ,Score: 0 | Notes: ,Score: 0 | Notes: ,Score: N/A | Notes: Manual review required
sc24_longexposure.pdf,Score: 1 | Notes: PDF was successfully downloaded.,"Score: 2 | Notes: Found potential repository URL(s): https://github.com/HPHEX/LongExposure., https://github.com/tatsu-lab/stanford",Score: 1 | Notes: Found keyword: dataset,Score: 0 | Notes: ,Score: 0 | Notes: ,Score: 0 | Notes: ,Score: 0 | Notes: ,Score: 0 | Notes: ,Score: N/A | Notes: Manual review required
KNOD__Domain_Knowledge_Distilled_Tree_Decoder_for_Automated_Program_Repair.pdf,Score: 1 | Notes: PDF was successfully downloaded.,"Score: 2 | Notes: Found potential repository URL(s): https://github.com/c2nes/javalang, https://github.com/javaparser/javaparser",Score: 1 | Notes: Found keyword: dataset,Score: 0 | Notes: ,Score: 0 | Notes: ,Score: 0 | Notes: ,Score: 0 | Notes: ,Score: 0 | Notes: ,Score: N/A | Notes: Manual review required
Impact_of_Code_Language_Models_on_Automated_Program_Repair_1.pdf,Score: 1 | Notes: PDF was successfully downloaded.,Score: 2 | Notes: Found potential repository URL(s): https://github.com/lin-tan/clm,Score: 1 | Notes: Found keyword: dataset,Score: 0 | Notes: ,Score: 0 | Notes: ,Score: 0 | Notes: ,Score: 0 | Notes: ,Score: 0 | Notes: ,Score: N/A | Notes: Manual review required
TAINT_M_INI___Detecting_Flow_of_Sensitive_Data_in_Mini_Programs_with_Static_Taint_Analysis.pdf,Score: 1 | Notes: PDF was successfully downloaded.,Score: 2 | Notes: Found potential repository URL(s): https://github.com/OSUSecLab/TaintMini.,Score: 1 | Notes: Found keyword: dataset,Score: 0 | Notes: ,Score: 0 | Notes: ,Score: 0 | Notes: ,Score: 0 | Notes: ,Score: 0 | Notes: ,Score: N/A | Notes: Manual review required
Detecting_Isolation_Bugs_via_Transaction_Oracle_Construction.pdf,Score: 1 | Notes: PDF was successfully downloaded.,"Score: 2 | Notes: Found potential repository URL(s): https://github.com/ept/hermitage, https://github.com/anse1/sqlsmith",Score: 0 | Notes: ,Score: 0 | Notes: ,Score: 0 | Notes: ,Score: 0 | Notes: ,Score: 0 | Notes: ,Score: 0 | Notes: ,Score: N/A | Notes: Manual review required
GameRTS__A_Regression_Testing_Framework_for_Video_Games.pdf,Score: 1 | Notes: PDF was successfully downloaded.,Score: 2 | Notes: Found potential repository URL(s): https://github.com/fstirlitz/luaparse,Score: 0 | Notes: ,Score: 0 | Notes: ,Score: 0 | Notes: ,Score: 0 | Notes: ,Score: 0 | Notes: ,Score: 0 | Notes: ,Score: N/A | Notes: Manual review required
